52	3R	+	4233047	4235041	FBtr0078967	1	1995	FBgn0015331	abs	15.495739	22.421080	Q9V3C0
6387	3R	+	25811911	25813134	FBtr0301963	1	1224	FBgn0011273	Acam	0.000000	0.000000	P49258
6388	3R	+	25812539	25813134	FBtr0084904	1	596	FBgn0011273	Acam	0.000000	0.000000	P49258
6515	3R	-	26254069	26261591	FBtr0084994	4	2636	FBgn0000064	Ald	4.448084	6.436017	P07764
6516	3R	-	26254603	26261591	FBtr0339614	4	2102	FBgn0000064	Ald	109.158829	157.943970	P07764
6517	3R	-	26255204	26258279	FBtr0084999	3	1483	FBgn0000064	Ald	0.713701	1.032668	P07764
6518	3R	-	26255204	26259213	FBtr0310660	4	1472	FBgn0000064	Ald	0.000000	0.000000	P07764
6519	3R	-	26255204	26259835	FBtr0084995	4	1279	FBgn0000064	Ald	1.254206	1.814734	P07764
6520	3R	-	26255966	26258279	FBtr0085000	4	1747	FBgn0000064	Ald	0.000000	0.000000	P07764
6521	3R	-	26255966	26259213	FBtr0114544	5	1736	FBgn0000064	Ald	0.000000	0.000000	P07764
6522	3R	-	26255966	26261412	FBtr0085001	4	1618	FBgn0000064	Ald	1.081355	1.564633	P07764
6523	3R	-	26255966	26261412	FBtr0306657	4	1614	FBgn0000064	Ald	0.000000	0.000000	P07764
6524	3R	-	26255966	26261591	FBtr0310661	4	1615	FBgn0000064	Ald	0.929869	1.345445	P07764
6880	3R	+	27694883	27695057	FBtr0310089	1	175	FBgn0263597	Acp98AB	0.000000	0.000000	O46201
7727	3R	-	30968236	31016875	FBtr0334508	3	4486	FBgn0004573	5-HT7	0.000000	0.000000	P20905
7728	3R	-	30969142	31016875	FBtr0085746	2	3506	FBgn0004573	5-HT7	0.000000	0.000000	P20905
7738	3R	+	31048929	31052540	FBtr0085733	4	2153	FBgn0016123	Aph-4	0.000000	0.000000	Q24238
7739	3R	+	31049809	31052540	FBtr0085734	4	2021	FBgn0016123	Aph-4	0.000000	0.000000	Q24238
8899	3L	+	2739750	2740228	FBtr0072943	1	479	FBgn0020509	Acp62F	0.000000	0.000000	O46202
8901	3L	-	2768466	2772325	FBtr0073016	3	3020	FBgn0035371	CG9977	32.552761	47.101208	Q9VZX9
9220	3L	-	3815839	3816354	FBtr0073182	3	401	FBgn0015585	Acp63F	0.000000	0.000000	O46200
9221	3L	-	3815924	3816354	FBtr0346805	3	316	FBgn0015585	Acp63F	0.000000	0.000000	O46200
9349	3L	+	4141467	4142070	FBtr0073213	2	536	FBgn0004552	Akh	0.000000	0.000000	P61855
9387	3L	-	4246343	4252051	FBtr0073247	7	5223	FBgn0041171	ago	6.121024	8.856626	Q9VZF4
9388	3L	-	4246343	4254052	FBtr0073246	8	5268	FBgn0041171	ago	0.000000	0.000000	Q9VZF4
9389	3L	-	4246343	4254306	FBtr0073245	7	5332	FBgn0041171	ago	103.630241	149.944565	Q9VZF4
9601	3L	+	5146098	5149852	FBtr0077168	10	3233	FBgn0028962	Aats-ala-m	0.000000	0.000000	Q9VRJ1
10049	3L	+	7131863	7133463	FBtr0076915	3	420	FBgn0010387	Dbi	0.000000	0.000000	P42281
10050	3L	+	7132637	7133463	FBtr0076916	2	386	FBgn0010387	Dbi	0.000000	0.000000	P42281
10144	3L	+	7369843	7372783	FBtr0076848	4	1268	FBgn0082598	akirin	70.170074	101.530411	Q9VS59
10145	3L	+	7369843	7372783	FBtr0302545	4	1127	FBgn0082598	akirin	15.213769	22.013090	Q9VS59
10146	3L	+	7369843	7373711	FBtr0076849	4	2080	FBgn0082598	akirin	18.410006	26.637787	Q9VS59
10147	3L	+	7369843	7373711	FBtr0302544	4	2196	FBgn0082598	akirin	39.546459	57.220520	Q9VS59
10148	3L	+	7370340	7373711	FBtr0302543	4	2065	FBgn0082598	akirin	0.000000	0.000000	Q9VS59
10149	3L	+	7370800	7373711	FBtr0332730	4	2080	FBgn0082598	akirin	0.000000	0.000000	Q9VS59
10837	3L	+	9423253	9424781	FBtr0076457	1	1529	FBgn0023129	aay	52.211250	75.545448	Q9VSY6
11175	3L	+	10663376	10664435	FBtr0113421	5	701	FBgn0052068	CG32068	0.000000	0.000000	Q6AWN0
11299	3L	+	11164971	11166620	FBtr0076217	3	1529	FBgn0052076	Alg10	8.155658	11.800576	Q8T8L8
11973	3L	-	13483533	13486280	FBtr0075819	5	2500	FBgn0036372	Abp1	54.040607	78.192383	Q9VU84
12382	3L	+	15554113	15561042	FBtr0075559	8	4050	FBgn0087035	AGO2	31.937370	46.210785	Q9VUQ5
12383	3L	+	15554113	15561042	FBtr0075560	7	4117	FBgn0087035	AGO2	25.069950	36.274189	Q9VUQ5
12384	3L	+	15556823	15561042	FBtr0331933	6	3784	FBgn0087035	AGO2	0.289042	0.418220	Q9VUQ5
12396	3L	+	15583638	15585347	FBtr0075565	5	1150	FBgn0036515	CG12304	13.810672	19.982924	Q9VUR3
12397	3L	+	15583638	15585347	FBtr0075566	4	1051	FBgn0036515	CG12304	36.719265	53.129799	Q9VUR3
12788	3L	-	16615866	16647882	FBtr0112790	9	12564	FBgn0000017	Abl	2.359659	3.414235	P00522
12789	3L	-	16615866	16647882	FBtr0345369	8	12510	FBgn0000017	Abl	1.567979	2.268739	P00522
12790	3L	-	16622370	16647882	FBtr0075357	8	6006	FBgn0000017	Abl	3.265969	4.725593	P00522
12791	3L	-	16622370	16647882	FBtr0330130	8	6261	FBgn0000017	Abl	0.329076	0.476146	P00522
12792	3L	-	16622370	16647882	FBtr0330131	10	5967	FBgn0000017	Abl	0.217487	0.314686	P00522
12793	3L	-	16622370	16647882	FBtr0330132	9	5913	FBgn0000017	Abl	0.290663	0.420566	P00522
