#nmismatch	name1	strand1	start1	end1	name2	strand2	start2	end2
15	U00096.2	+	2302805	2302925	NODE_27_length_905_cov_1.697248	+	394	486
18	U00096.2	+	2302918	2303038	NODE_27_length_905_cov_1.697248	+	394	486
112	U00096.2	+	2509051	2509462	NODE_27_length_905_cov_1.697248	+	111	486
16	U00096.2	+	2537629	2537715	NODE_27_length_905_cov_1.697248	+	408	484
3	U00096.2	+	2806197	2806236	NODE_27_length_905_cov_1.697248	+	404	443
5	U00096.2	+	3040329	3040376	NODE_27_length_905_cov_1.697248	+	394	441
4	U00096.2	+	3040440	3040497	NODE_27_length_905_cov_1.697248	+	393	443
4	U00096.2	+	3137670	3137726	NODE_27_length_905_cov_1.697248	+	394	444
1	U00096.2	+	3706345	3706381	NODE_27_length_905_cov_1.697248	+	408	444
114	U00096.2	+	3748081	3748508	NODE_27_length_905_cov_1.697248	+	473	899
17	U00096.2	+	4025520	4025626	NODE_27_length_905_cov_1.697248	+	394	486
18	U00096.2	+	4092366	4092465	NODE_27_length_905_cov_1.697248	+	394	486
16	U00096.2	+	4092458	4092557	NODE_27_length_905_cov_1.697248	+	394	486
17	U00096.2	+	4092550	4092649	NODE_27_length_905_cov_1.697248	+	394	486
17	U00096.2	+	4092642	4092741	NODE_27_length_905_cov_1.697248	+	394	486
34	U00096.2	+	4233417	4233553	NODE_27_length_905_cov_1.697248	+	347	486
15	U00096.2	+	4243142	4243241	NODE_27_length_905_cov_1.697248	+	394	486
17	U00096.2	+	4247371	4247473	NODE_27_length_905_cov_1.697248	+	394	490
4	U00096.2	+	4283352	4283401	NODE_27_length_905_cov_1.697248	+	394	443
15	U00096.2	+	4315938	4316024	NODE_27_length_905_cov_1.697248	+	406	487
134	U00096.2	+	4421697	4422122	NODE_27_length_905_cov_1.697248	+	472	905
14	U00096.2	+	4458424	4458522	NODE_27_length_905_cov_1.697248	+	394	486
14	U00096.2	+	4482352	4482440	NODE_27_length_905_cov_1.697248	+	404	486
14	U00096.2	+	39150	39232	NODE_27_length_905_cov_1.697248	-	420	498
2	U00096.2	+	66145	66656	NODE_27_length_905_cov_1.697248	-	1	512
1	U00096.2	+	66649	66741	NODE_27_length_905_cov_1.697248	-	420	512
7	U00096.2	+	66734	66826	NODE_27_length_905_cov_1.697248	-	420	512
13	U00096.2	+	374254	374362	NODE_27_length_905_cov_1.697248	-	420	512
13	U00096.2	+	374355	374463	NODE_27_length_905_cov_1.697248	-	420	512
14	U00096.2	+	374456	374564	NODE_27_length_905_cov_1.697248	-	420	512
6	U00096.2	+	757631	757681	NODE_27_length_905_cov_1.697248	-	462	512
19	U00096.2	+	836782	836857	NODE_27_length_905_cov_1.697248	-	436	512
19	U00096.2	+	2175390	2175479	NODE_27_length_905_cov_1.697248	-	416	512
117	U00096.2	+	2344845	2345275	NODE_27_length_905_cov_1.697248	-	95	512
20	U00096.2	+	2345267	2345383	NODE_27_length_905_cov_1.697248	-	419	526
15	U00096.2	+	2428948	2429034	NODE_27_length_905_cov_1.697248	-	418	498
14	U00096.2	+	3096434	3096532	NODE_27_length_905_cov_1.697248	-	420	512
13	U00096.2	+	3201165	3201263	NODE_27_length_905_cov_1.697248	-	420	512
16	U00096.2	+	3215455	3215572	NODE_27_length_905_cov_1.697248	-	420	525
8	U00096.2	+	3311271	3311323	NODE_27_length_905_cov_1.697248	-	460	512
17	U00096.2	+	3752878	3752978	NODE_27_length_905_cov_1.697248	-	416	512
15	U00096.2	+	4323873	4323960	NODE_27_length_905_cov_1.697248	-	420	498
15	U00096.2	+	4323973	4324060	NODE_27_length_905_cov_1.697248	-	420	498
15	U00096.2	+	4324073	4324160	NODE_27_length_905_cov_1.697248	-	420	498
15	U00096.2	+	4324173	4324260	NODE_27_length_905_cov_1.697248	-	420	498
15	U00096.2	+	4324273	4324360	NODE_27_length_905_cov_1.697248	-	420	498
14	U00096.2	+	4631157	4631262	NODE_27_length_905_cov_1.697248	-	420	507
0	U00096.2	+	84148	84532	NODE_28_length_385_cov_1.519886	+	1	385
0	U00096.2	+	76388	76644	NODE_29_length_257_cov_1.495536	+	1	257
0	U00096.2	+	51424	52010	NODE_30_length_587_cov_2.005415	+	1	587
0	U00096.2	+	30588	30877	NODE_31_length_290_cov_1.459144	+	1	290
0	U00096.2	+	73431	73798	NODE_32_length_368_cov_1.220896	+	1	368
0	U00096.2	+	10163	10615	NODE_33_length_453_cov_2.550000	-	1	453
0	U00096.2	+	11778	12205	NODE_34_length_428_cov_2.111392	+	1	428
0	U00096.2	+	14419	15133	NODE_35_length_715_cov_2.454545	+	1	715
0	U00096.2	+	2109	2379	NODE_36_length_271_cov_0.962185	+	1	271
101	U00096.2	+	4129627	4129881	NODE_36_length_271_cov_0.962185	+	15	270
0	U00096.2	+	18414	18997	NODE_37_length_584_cov_2.166969	+	1	584
0	U00096.2	+	57016	57721	NODE_38_length_706_cov_1.405646	-	1	706
0	U00096.2	+	28544	28950	NODE_39_length_407_cov_1.336898	-	1	407
0	U00096.2	+	87136	87667	NODE_40_length_532_cov_1.623246	-	1	532
0	U00096.2	+	7170	7417	NODE_41_length_248_cov_1.837209	-	1	248
0	U00096.2	+	86537	86813	NODE_42_length_277_cov_1.647541	+	1	277
0	U00096.2	+	49639	49881	NODE_43_length_243_cov_1.571429	+	1	243
0	U00096.2	+	95704	95921	NODE_44_length_218_cov_1.362162	-	1	218
0	U00096.2	+	41387	41665	NODE_45_length_279_cov_1.313008	+	1	279
0	U00096.2	+	77598	77932	NODE_46_length_335_cov_1.751656	+	1	335
88	U00096.2	+	3835023	3835241	NODE_46_length_335_cov_1.751656	+	68	286
0	U00096.2	+	34838	35072	NODE_47_length_235_cov_1.242574	+	1	235
0	U00096.2	+	48127	48513	NODE_48_length_387_cov_1.878531	+	1	387
107	U00096.2	+	3477891	3478263	NODE_48_length_387_cov_1.878531	-	1	382
43	U00096.2	+	1775208	1775326	NODE_49_length_261_cov_2.179825	+	143	261
0	U00096.2	+	40280	40540	NODE_49_length_261_cov_2.179825	-	1	261
0	U00096.2	+	25550	25911	NODE_50_length_362_cov_1.799392	+	1	362
19	U00096.2	+	138676	138801	NODE_50_length_362_cov_1.799392	+	143	251
13	U00096.2	+	173503	173591	NODE_50_length_362_cov_1.799392	+	160	249
6	U00096.2	+	216053	216100	NODE_50_length_362_cov_1.799392	+	211	258
1	U00096.2	+	244128	244163	NODE_50_length_362_cov_1.799392	+	212	247
15	U00096.2	+	248146	248234	NODE_50_length_362_cov_1.799392	+	160	247
18	U00096.2	+	376558	376646	NODE_50_length_362_cov_1.799392	+	160	247
23	U00096.2	+	376645	376746	NODE_50_length_362_cov_1.799392	+	147	247
18	U00096.2	+	410297	410393	NODE_50_length_362_cov_1.799392	+	156	251
17	U00096.2	+	410403	410497	NODE_50_length_362_cov_1.799392	+	160	251
3	U00096.2	+	500666	500702	NODE_50_length_362_cov_1.799392	+	211	247
8	U00096.2	+	507784	507840	NODE_50_length_362_cov_1.799392	+	190	247
13	U00096.2	+	507853	507941	NODE_50_length_362_cov_1.799392	+	160	247
13	U00096.2	+	507954	508042	NODE_50_length_362_cov_1.799392	+	160	247
9	U00096.2	+	550646	550739	NODE_50_length_362_cov_1.799392	+	160	252
15	U00096.2	+	609338	609442	NODE_50_length_362_cov_1.799392	+	159	251
2	U00096.2	+	631336	631372	NODE_50_length_362_cov_1.799392	+	211	247
26	U00096.2	+	707030	707172	NODE_50_length_362_cov_1.799392	+	136	261
15	U00096.2	+	714470	714589	NODE_50_length_362_cov_1.799392	+	149	251
16	U00096.2	+	805026	805113	NODE_50_length_362_cov_1.799392	+	160	247
9	U00096.2	+	805119	805207	NODE_50_length_362_cov_1.799392	+	160	249
20	U00096.2	+	814777	814909	NODE_50_length_362_cov_1.799392	+	137	251
12	U00096.2	+	831510	831610	NODE_50_length_362_cov_1.799392	+	159	247
14	U00096.2	+	1067571	1067679	NODE_50_length_362_cov_1.799392	+	155	251
17	U00096.2	+	1083904	1083992	NODE_50_length_362_cov_1.799392	+	160	248
12	U00096.2	+	1112639	1112742	NODE_50_length_362_cov_1.799392	+	160	251
2	U00096.2	+	1133871	1133911	NODE_50_length_362_cov_1.799392	+	211	251
20	U00096.2	+	1689432	1689550	NODE_50_length_362_cov_1.799392	+	143	251
16	U00096.2	+	2116489	2116579	NODE_50_length_362_cov_1.799392	+	160	247
17	U00096.2	+	2289221	2289325	NODE_50_length_362_cov_1.799392	+	159	251
8	U00096.2	+	2338334	2338418	NODE_50_length_362_cov_1.799392	+	160	248
27	U00096.2	+	2509360	2509467	NODE_50_length_362_cov_1.799392	+	147	252
14	U00096.2	+	2547486	2547585	NODE_50_length_362_cov_1.799392	+	159	246
2	U00096.2	+	2579683	2579721	NODE_50_length_362_cov_1.799392	+	160	198
4	U00096.2	+	2590991	2591035	NODE_50_length_362_cov_1.799392	+	204	248
11	U00096.2	+	2652991	2653089	NODE_50_length_362_cov_1.799392	+	160	247
14	U00096.2	+	2682132	2682241	NODE_50_length_362_cov_1.799392	+	154	251
17	U00096.2	+	2712303	2712408	NODE_50_length_362_cov_1.799392	+	159	252
22	U00096.2	+	2833088	2833188	NODE_50_length_362_cov_1.799392	+	160	264
14	U00096.2	+	2943917	2944019	NODE_50_length_362_cov_1.799392	+	160	251
10	U00096.2	+	3080777	3080864	NODE_50_length_362_cov_1.799392	+	160	252
1	U00096.2	+	3137645	3137678	NODE_50_length_362_cov_1.799392	+	215	248
28	U00096.2	+	3232614	3232746	NODE_50_length_362_cov_1.799392	+	120	247
16	U00096.2	+	3267743	3267847	NODE_50_length_362_cov_1.799392	+	160	252
28	U00096.2	+	3510495	3510627	NODE_50_length_362_cov_1.799392	+	120	251
10	U00096.2	+	3537738	3537803	NODE_50_length_362_cov_1.799392	+	188	248
13	U00096.2	+	3596419	3596523	NODE_50_length_362_cov_1.799392	+	160	251
6	U00096.2	+	3674201	3674245	NODE_50_length_362_cov_1.799392	+	207	251
18	U00096.2	+	3738965	3739089	NODE_50_length_362_cov_1.799392	+	136	251
13	U00096.2	+	3772258	3772357	NODE_50_length_362_cov_1.799392	+	160	246
2	U00096.2	+	3851734	3851770	NODE_50_length_362_cov_1.799392	+	160	196
3	U00096.2	+	3906437	3906476	NODE_50_length_362_cov_1.799392	+	210	249
12	U00096.2	+	3998167	3998276	NODE_50_length_362_cov_1.799392	+	155	247
13	U00096.2	+	4025338	4025430	NODE_50_length_362_cov_1.799392	+	154	248
12	U00096.2	+	4025442	4025528	NODE_50_length_362_cov_1.799392	+	160	248
11	U00096.2	+	4025540	4025627	NODE_50_length_362_cov_1.799392	+	160	248
2	U00096.2	+	4051551	4051587	NODE_50_length_362_cov_1.799392	+	211	247
18	U00096.2	+	4061546	4061617	NODE_50_length_362_cov_1.799392	+	176	247
14	U00096.2	+	4092655	4092741	NODE_50_length_362_cov_1.799392	+	160	247
30	U00096.2	+	4106552	4106692	NODE_50_length_362_cov_1.799392	+	116	247
3	U00096.2	+	4216450	4216494	NODE_50_length_362_cov_1.799392	+	200	248
13	U00096.2	+	4216506	4216592	NODE_50_length_362_cov_1.799392	+	160	248
1	U00096.2	+	4233444	4233479	NODE_50_length_362_cov_1.799392	+	213	248
14	U00096.2	+	4243154	4243241	NODE_50_length_362_cov_1.799392	+	159	247
4	U00096.2	+	4247339	4247379	NODE_50_length_362_cov_1.799392	+	208	248
11	U00096.2	+	4247385	4247473	NODE_50_length_362_cov_1.799392	+	161	251
0	U00096.2	+	4283325	4283360	NODE_50_length_362_cov_1.799392	+	213	248
10	U00096.2	+	4315939	4316023	NODE_50_length_362_cov_1.799392	+	160	247
15	U00096.2	+	4371201	4371319	NODE_50_length_362_cov_1.799392	+	136	247
8	U00096.2	+	4448955	4449002	NODE_50_length_362_cov_1.799392	+	201	248
1	U00096.2	+	4455207	4455242	NODE_50_length_362_cov_1.799392	+	212	247
14	U00096.2	+	4458430	4458522	NODE_50_length_362_cov_1.799392	+	153	247
14	U00096.2	+	4482356	4482444	NODE_50_length_362_cov_1.799392	+	161	251
2	U00096.2	+	4552526	4552567	NODE_50_length_362_cov_1.799392	+	211	252
1	U00096.2	+	4612279	4612314	NODE_50_length_362_cov_1.799392	+	212	247
13	U00096.2	+	4612327	4612415	NODE_50_length_362_cov_1.799392	+	160	247
15	U00096.2	+	4612428	4612516	NODE_50_length_362_cov_1.799392	+	160	247
14	U00096.2	+	4612529	4612617	NODE_50_length_362_cov_1.799392	+	160	247
11	U00096.2	+	4626765	4626868	NODE_50_length_362_cov_1.799392	+	160	247
14	U00096.2	+	39150	39234	NODE_50_length_362_cov_1.799392	-	116	204
19	U00096.2	+	338976	339074	NODE_50_length_362_cov_1.799392	-	112	216
10	U00096.2	+	339072	339154	NODE_50_length_362_cov_1.799392	-	115	203
19	U00096.2	+	339166	339260	NODE_50_length_362_cov_1.799392	-	116	216
11	U00096.2	+	339258	339340	NODE_50_length_362_cov_1.799392	-	115	204
13	U00096.2	+	356703	356787	NODE_50_length_362_cov_1.799392	-	112	203
13	U00096.2	+	356903	356987	NODE_50_length_362_cov_1.799392	-	112	203
14	U00096.2	+	374153	374241	NODE_50_length_362_cov_1.799392	-	116	203
11	U00096.2	+	374254	374342	NODE_50_length_362_cov_1.799392	-	116	203
13	U00096.2	+	374355	374443	NODE_50_length_362_cov_1.799392	-	116	203
10	U00096.2	+	374456	374544	NODE_50_length_362_cov_1.799392	-	116	203
15	U00096.2	+	489178	489282	NODE_50_length_362_cov_1.799392	-	112	204
15	U00096.2	+	698643	698747	NODE_50_length_362_cov_1.799392	-	112	204
14	U00096.2	+	740176	740283	NODE_50_length_362_cov_1.799392	-	116	203
13	U00096.2	+	757674	757749	NODE_50_length_362_cov_1.799392	-	116	202
2	U00096.2	+	836849	836889	NODE_50_length_362_cov_1.799392	-	115	155
15	U00096.2	+	844849	844965	NODE_50_length_362_cov_1.799392	-	112	215
15	U00096.2	+	898914	899017	NODE_50_length_362_cov_1.799392	-	112	203
44	U00096.2	+	1380795	1380965	NODE_50_length_362_cov_1.799392	-	29	203
12	U00096.2	+	1532905	1532966	NODE_50_length_362_cov_1.799392	-	115	180
13	U00096.2	+	1814204	1814308	NODE_50_length_362_cov_1.799392	-	112	204
15	U00096.2	+	1952447	1952552	NODE_50_length_362_cov_1.799392	-	111	204
12	U00096.2	+	1999990	2000091	NODE_50_length_362_cov_1.799392	-	115	203
1	U00096.2	+	2131454	2131490	NODE_50_length_362_cov_1.799392	-	115	151
14	U00096.2	+	2175471	2175537	NODE_50_length_362_cov_1.799392	-	115	189
2	U00096.2	+	2234670	2234707	NODE_50_length_362_cov_1.799392	-	115	152
9	U00096.2	+	2314903	2315006	NODE_50_length_362_cov_1.799392	-	115	203
3	U00096.2	+	2315018	2315058	NODE_50_length_362_cov_1.799392	-	116	156
18	U00096.2	+	2345158	2345261	NODE_50_length_362_cov_1.799392	-	87	202
12	U00096.2	+	2345268	2345350	NODE_50_length_362_cov_1.799392	-	116	203
16	U00096.2	+	2428950	2429037	NODE_50_length_362_cov_1.799392	-	116	205
27	U00096.2	+	2441777	2441891	NODE_50_length_362_cov_1.799392	-	76	203
11	U00096.2	+	2536552	2536656	NODE_50_length_362_cov_1.799392	-	112	204
12	U00096.2	+	2660421	2660506	NODE_50_length_362_cov_1.799392	-	116	203
35	U00096.2	+	2660512	2660674	NODE_50_length_362_cov_1.799392	-	116	262
13	U00096.2	+	2840444	2840534	NODE_50_length_362_cov_1.799392	-	116	215
3	U00096.2	+	2915905	2915945	NODE_50_length_362_cov_1.799392	-	112	152
25	U00096.2	+	3068024	3068154	NODE_50_length_362_cov_1.799392	-	116	249
15	U00096.2	+	3201162	3201249	NODE_50_length_362_cov_1.799392	-	113	202
2	U00096.2	+	3201255	3201291	NODE_50_length_362_cov_1.799392	-	115	151
1	U00096.2	+	3214667	3214701	NODE_50_length_362_cov_1.799392	-	117	151
13	U00096.2	+	3253237	3253346	NODE_50_length_362_cov_1.799392	-	115	207
15	U00096.2	+	3328477	3328597	NODE_50_length_362_cov_1.799392	-	112	214
26	U00096.2	+	3390065	3390183	NODE_50_length_362_cov_1.799392	-	91	203
15	U00096.2	+	3390189	3390274	NODE_50_length_362_cov_1.799392	-	116	203
14	U00096.2	+	3390280	3390365	NODE_50_length_362_cov_1.799392	-	116	203
4	U00096.2	+	3390371	3390409	NODE_50_length_362_cov_1.799392	-	116	154
2	U00096.2	+	3502806	3502843	NODE_50_length_362_cov_1.799392	-	165	202
20	U00096.2	+	3545872	3545996	NODE_50_length_362_cov_1.799392	-	91	203
15	U00096.2	+	3590582	3590686	NODE_50_length_362_cov_1.799392	-	112	203
13	U00096.2	+	3637227	3637330	NODE_50_length_362_cov_1.799392	-	112	203
9	U00096.2	+	3672404	3672496	NODE_50_length_362_cov_1.799392	-	117	202
13	U00096.2	+	3703981	3704084	NODE_50_length_362_cov_1.799392	-	112	203
15	U00096.2	+	3752878	3752965	NODE_50_length_362_cov_1.799392	-	112	203
20	U00096.2	+	3875597	3875707	NODE_50_length_362_cov_1.799392	-	105	203
1	U00096.2	+	3960725	3960759	NODE_50_length_362_cov_1.799392	-	169	203
7	U00096.2	+	3982241	3982350	NODE_50_length_362_cov_1.799392	-	115	206
13	U00096.2	+	4078038	4078141	NODE_50_length_362_cov_1.799392	-	112	203
6	U00096.2	+	4101579	4101623	NODE_50_length_362_cov_1.799392	-	116	160
12	U00096.2	+	4125970	4126071	NODE_50_length_362_cov_1.799392	-	112	202
6	U00096.2	+	4146451	4146535	NODE_50_length_362_cov_1.799392	-	115	203
13	U00096.2	+	4151558	4151652	NODE_50_length_362_cov_1.799392	-	116	203
15	U00096.2	+	4323868	4323962	NODE_50_length_362_cov_1.799392	-	111	204
13	U00096.2	+	4323972	4324062	NODE_50_length_362_cov_1.799392	-	115	204
12	U00096.2	+	4324072	4324162	NODE_50_length_362_cov_1.799392	-	115	204
15	U00096.2	+	4324168	4324262	NODE_50_length_362_cov_1.799392	-	111	204
13	U00096.2	+	4324272	4324361	NODE_50_length_362_cov_1.799392	-	115	203
10	U00096.2	+	4372517	4372604	NODE_50_length_362_cov_1.799392	-	113	180
11	U00096.2	+	4407171	4407271	NODE_50_length_362_cov_1.799392	-	112	189
13	U00096.2	+	4468399	4468491	NODE_50_length_362_cov_1.799392	-	112	202
7	U00096.2	+	4547798	4547842	NODE_50_length_362_cov_1.799392	-	159	203
0	U00096.2	+	48531	48735	NODE_51_length_205_cov_2.296512	+	1	205
74	U00096.2	+	3477684	3477870	NODE_51_length_205_cov_2.296512	-	16	202
0	U00096.2	+	58651	59005	NODE_52_length_355_cov_1.664596	+	1	355
0	U00096.2	+	21932	22382	NODE_53_length_451_cov_2.363636	+	1	451
0	U00096.2	+	78667	78955	NODE_54_length_289_cov_1.308594	-	1	289
0	U00096.2	+	9195	9424	NODE_55_length_230_cov_1.649746	+	1	230
0	U00096.2	+	46477	46705	NODE_56_length_229_cov_1.693878	+	1	229
0	U00096.2	+	43821	44044	NODE_57_length_224_cov_1.691099	+	1	224
46	U00096.2	+	1779078	1779278	NODE_57_length_224_cov_1.691099	+	24	224
0	U00096.2	+	82495	82821	NODE_58_length_327_cov_1.112245	-	1	327
0	U00096.2	+	83291	83697	NODE_59_length_407_cov_1.957219	+	1	407
0	U00096.2	+	46968	47242	NODE_60_length_275_cov_2.190083	+	1	275
0	U00096.2	+	75968	76385	NODE_61_length_418_cov_1.555844	-	1	418
123	U00096.2	+	3850319	3850648	NODE_62_length_343_cov_1.922581	+	1	330
0	U00096.2	+	85749	86091	NODE_62_length_343_cov_1.922581	-	1	343
124	U00096.2	+	3948691	3948988	NODE_62_length_343_cov_1.922581	-	2	299
0	U00096.2	+	55754	56388	NODE_63_length_635_cov_2.931894	-	1	635
0	U00096.2	+	53210	53582	NODE_64_length_373_cov_1.864706	-	1	373
0	U00096.2	+	997	1333	NODE_65_length_337_cov_1.059211	+	1	337
0	U00096.2	+	20706	20892	NODE_66_length_187_cov_1.987013	+	1	187
0	U00096.2	+	93842	94144	NODE_67_length_303_cov_1.340741	+	1	303
0	U00096.2	+	38192	38406	NODE_68_length_215_cov_1.076923	+	1	215
0	U00096.2	+	36835	37100	NODE_69_length_266_cov_1.686695	+	1	266
0	U00096.2	+	42764	43025	NODE_70_length_262_cov_1.122271	+	1	262
74	U00096.2	+	1777993	1778236	NODE_70_length_262_cov_1.122271	+	1	247
0	U00096.2	+	31040	31302	NODE_71_length_263_cov_1.308696	+	1	263
0	U00096.2	+	59343	59569	NODE_72_length_227_cov_1.628866	+	1	227
0	U00096.2	+	44349	44628	NODE_73_length_280_cov_1.190283	+	1	280
109	U00096.2	+	1779590	1779867	NODE_73_length_280_cov_1.190283	+	3	280
0	U00096.2	+	35964	36334	NODE_74_length_371_cov_2.159763	+	1	371
0	U00096.2	+	64209	64428	NODE_75_length_220_cov_1.443850	-	1	220
0	U00096.2	+	75720	75981	NODE_76_length_262_cov_2.253275	+	1	262
0	U00096.2	+	65966	66158	NODE_77_length_193_cov_1.675000	+	1	193
50	U00096.2	+	3748502	3748693	NODE_77_length_193_cov_1.675000	-	2	193
0	U00096.2	+	19144	19664	NODE_78_length_521_cov_2.309426	-	1	521
0	U00096.2	+	9730	9914	NODE_79_length_185_cov_1.736842	+	1	185
0	U00096.2	+	32281	32678	NODE_80_length_398_cov_1.276712	+	1	398
0	U00096.2	+	8474	9015	NODE_81_length_542_cov_2.552063	-	1	542
138	U00096.2	+	2576922	2577447	NODE_81_length_542_cov_2.552063	-	2	527
0	U00096.2	+	81025	81235	NODE_82_length_211_cov_1.129213	+	1	211
0	U00096.2	+	3218	3558	NODE_83_length_341_cov_2.519481	+	1	341
0	U00096.2	+	35070	35459	NODE_84_length_390_cov_1.736695	+	1	390
98	U00096.2	+	1462513	1462794	NODE_84_length_390_cov_1.736695	-	107	388
0	U00096.2	+	82916	83220	NODE_85_length_305_cov_1.966912	+	1	305
0	U00096.2	+	70258	70554	NODE_86_length_297_cov_1.958333	-	1	297
0	U00096.2	+	60502	60742	NODE_87_length_241_cov_1.331731	+	1	241
0	U00096.2	+	26841	27044	NODE_88_length_204_cov_1.070175	+	1	204
0	U00096.2	+	60725	60933	NODE_89_length_209_cov_1.261364	+	1	209
0	U00096.2	+	80554	80881	NODE_90_length_328_cov_1.566102	+	1	328
0	U00096.2	+	49287	49586	NODE_91_length_300_cov_1.254682	+	1	300
2	U00096.2	+	15377	16785	NODE_92_length_1409_cov_2.819767	+	1	1409
6	U00096.2	+	607220	608585	NODE_92_length_1409_cov_2.819767	+	1	1366
2	U00096.2	+	2512285	2513649	NODE_92_length_1409_cov_2.819767	+	1	1365
12	U00096.2	+	607182	607255	NODE_92_length_1409_cov_2.819767	-	6	80
2	U00096.2	+	608549	608584	NODE_92_length_1409_cov_2.819767	-	1374	1409
0	U00096.2	+	79881	80364	NODE_93_length_484_cov_1.501109	+	1	484
0	U00096.2	+	85367	85734	NODE_94_length_368_cov_1.382090	+	1	368
0	U00096.2	+	54557	54891	NODE_95_length_335_cov_2.549669	-	1	335
0	U00096.2	+	6755	6973	NODE_96_length_219_cov_1.080645	-	1	219
0	U00096.2	+	85023	85386	NODE_97_length_364_cov_2.123867	+	1	364
0	U00096.2	+	13518	13752	NODE_98_length_235_cov_1.702970	-	1	235
14	U00096.2	+	1049003	1049784	NODE_99_length_842_cov_6.174289	+	1	782
3	U00096.2	+	3581453	3582222	NODE_99_length_842_cov_6.174289	+	1	770
75	U00096.2	+	4516497	4517268	NODE_99_length_842_cov_6.174289	+	1	772
1	U00096.2	+	19720	20561	NODE_99_length_842_cov_6.174289	-	1	842
9	U00096.2	+	278385	279152	NODE_99_length_842_cov_6.174289	-	75	842
8	U00096.2	+	289858	290623	NODE_99_length_842_cov_6.174289	-	77	842
1	U00096.2	+	1976527	1977292	NODE_99_length_842_cov_6.174289	-	77	842
0	U00096.2	+	77926	78643	NODE_100_length_718_cov_3.414599	+	1	718
